"gene_id","gene_name","tot_target","perc_valid_CellLine","valid_targets_CellLine","valid_targets_CellLine_names","perc_valid_LTL_longitudinal","valid_targets_LTL_longitudinal","valid_targets_LTL_longitudinal_names","perc_valid_PDX_longitudinal","valid_targets_PDX_longitudinal","valid_targets_PDX_longitudinal_names"
"ENSG00000157456.8","CCNB2",5,0,0,"",1,5,"JAK2_DN.V1_DN,PID_MYC_ACTIV_PATHWAY,HALLMARK_MYC_TARGETS_V1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_MTORC1_SIGNALING",0,0,""
"ENSG00000163349.22","HIPK1",2,0,0,"",0.5,1,"EIF4E_UP",0,0,""
"ENSG00000163754.18","GYG1",1,0,0,"",0,0,"",0,0,""
"ENSG00000163930.10","BAP1",1,0,0,"",0,0,"",0,0,""
"ENSG00000165416.15","SUGT1",10,0.7,7,"MTOR_UP.N4.V1_UP,HALLMARK_MYC_TARGETS_V2,HALLMARK_ADIPOGENESIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_OXIDATIVE_PHOSPHORYLATION,MTOR_UP.N4.V1_DN,HALLMARK_MYC_TARGETS_V1",0.6,6,"MTOR_UP.N4.V1_UP,HALLMARK_ADIPOGENESIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_OXIDATIVE_PHOSPHORYLATION,MTOR_UP.N4.V1_DN,HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.1,1,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"
"ENSG00000166025.18","AMOTL1",1,0,0,"",1,1,"EIF4E_UP",0,0,""
"ENSG00000167258.15","CDK12",9,0.111111111111111,1,"ESC_V6.5_UP_LATE.V1_DN",0.333333333333333,3,"EIF4E_UP,HALLMARK_DNA_REPAIR,HALLMARK_OXIDATIVE_PHOSPHORYLATION",0,0,""
"ENSG00000167380.17","ZNF226",9,0,0,"",0,0,"",0,0,""
"ENSG00000173039.20","RELA",1,0,0,"",0,0,"",1,1,"JAK2_DN.V1_DN"
"ENSG00000173327.8","MAP3K11",4,0,0,"",0.25,1,"PID_ERBB1_INTERNALIZATION_PATHWAY",0.25,1,"PID_CDC42_PATHWAY"
"ENSG00000179409.11","GEMIN4",7,0.142857142857143,1,"RB_P107_DN.V1_DN",0.142857142857143,1,"JAK2_DN.V1_DN",0.571428571428571,4,"STK33_DN,JAK2_DN.V1_DN,HALLMARK_GLYCOLYSIS,TBK1.DN.48HRS_DN"
"ENSG00000185010.15","F8",5,0.2,1,"MTOR_UP.N4.V1_DN",0.8,4,"EIF4E_UP,RB_P130_DN.V1_UP,HALLMARK_DNA_REPAIR,MTOR_UP.N4.V1_DN",0,0,""
"ENSG00000196419.13","XRCC6",3,0,0,"",0.666666666666667,2,"PID_ERBB1_INTERNALIZATION_PATHWAY,PID_CDC42_PATHWAY",0,0,""
"ENSG00000197601.13","FAR1",6,0.666666666666667,4,"MTOR_UP.N4.V1_UP,MYC_UP.V1_UP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_FATTY_ACID_METABOLISM",0.833333333333333,5,"JAK2_DN.V1_DN,MTOR_UP.N4.V1_UP,MYC_UP.V1_UP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_FATTY_ACID_METABOLISM",0.166666666666667,1,"HALLMARK_OXIDATIVE_PHOSPHORYLATION"
"ENSG00000204209.13","DAXX",1,0,0,"",0,0,"",0,0,""
"ENSG00000264343.7","NOTCH2NLA",2,0,0,"",0,0,"",0.5,1,"HALLMARK_DNA_REPAIR"
